No,Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
142,3575,Jawa Timur,Kota Pasuruan,144111,58967,43896,102863,41248,28.62238136,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,15071,14.65152679
143,3576,Jawa Timur,Kota Mojokerto,96257,32706,41504,74210,22047,22.90430826,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-8798,-11.85554507
144,3577,Jawa Timur,Kota Madiun,147174,41048,65059,106107,41067,27.90370582,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-24011,-22.62904427
145,3578,Jawa Timur,Kota Surabaya,2086019,498736,892123,1390859,695160,33.32472044,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-393387,-28.28374407
146,3579,Jawa Timur,Kota Batu,149273,46979,73055,120034,29239,19.58760124,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-26076,-21.72384491
148,3601,Banten,Pandeglang,912035,352187,245581,597768,314267,34.45777848,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,106606,17.83400918
149,3602,Banten,Lebak,918013,337700,290868,628568,289445,31.52950993,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,46832,7.450586094
150,3603,Banten,Tangerang,2196272,878685,606456,1485141,711131,32.37900406,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,272229,18.33017875
151,3604,Banten,Serang,1112536,473545,266663,740208,372328,33.46660243,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,206882,27.94917104
152,3671,Banten,Kota Tangerang,1320737,500587,425345,925932,394805,29.89277956,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,75242,8.126082693
153,3672,Banten,Kota Cilegon,287551,131610,81908,213518,74033,25.74604157,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,49702,23.27766277
154,3673,Banten,Kota Serang,466352,182216,122022,304238,162114,34.76215391,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,60194,19.78516819
